task,code_task,group,model_key,result_key,display_name,reasoning,condition,conclusion_alignment,conclusion_alignment_scored_only,rouge_l_f1,bertscore_f1,mean_output_tokens,test_records,scored_records,format_failures,judge_failures,judge_model,judge_revision,judge_batch,run,source_qwen36_batch,qwen36_value,delta_vs_qwen36,per_item_exact_agreement,per_item_within_1,per_item_pearson,clinical_equivalence,clinical_equivalence_scored_only,critical_error_rate,unsupported_claim_rate
Board Simulation,task1,board,llama4_scout,llama4_scout,Llama 4 Scout 17B-16E Instruct,Non-reasoning,multimodal,2.0978,2.0978,0.1691,0.6211,538.8,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/llama4_scout_task1_judge_v31_images_qwen38_20260903,runs/llama4_scout_task1_test_v3_xsfixed_multimodal_v3_20260830_max65536_conclusiononly2_judgeinput,judge/board17_transcript3_task1_judge_v31_images_20260830,1.9457,0.1522,0.7609,1.0,0.8342,,,,
Specialist Turn,task2,board,llama4_scout,mm_llama4_scout,Llama 4 Scout 17B-16E Instruct,Non-reasoning,multimodal,,,0.2094,0.6423,62.9,4844,4844,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/mm_llama4_scout_task2_judge_v4_images_qwen38_20260903,runs/mm_llama4_scout_task2_test_v3_xsfixed_multimodal_20260813_max16384_judgeinput_slidealigned,judge/board13_task2_judge_v4_images_20260814,3.5281,-0.5607,0.4472,0.9298,0.8688,2.9674,2.9674,0.1016,0.1499
Board Simulation,task1,board,huatuogpt_3_32b,huatuogpt_3_32b,HuatuoGPT-3-32B,Non-reasoning,ablation_caption_only,1.8478,1.8478,0.0975,0.5625,2935.0,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/huatuogpt_3_32b_task1_judge_v31_images_qwen38_20260903,runs/huatuogpt_3_32b_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max32768_conclusiononly2,judge/board17_transcript3_task1_judge_v31_images_20260830,1.6685,0.1793,0.7554,1.0,0.717,,,,
Specialist Turn,task2,board,huatuogpt_3_32b,huatuogpt_3_32b,HuatuoGPT-3-32B,Non-reasoning,caption_only,,,0.1591,0.6056,94.0,4844,4844,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/huatuogpt_3_32b_task2_judge_v4_images_qwen38_20260903,runs/huatuogpt_3_32b_task2_test_v3_xsfixed_20260813_max8192_slidealigned,judge/board13_task2_judge_v4_images_20260814,3.5078,-0.5985,0.3555,0.9263,0.8506,2.9094,2.9094,0.1476,0.4502
Board Simulation,task1,board,huatuogpt_3_32b_reasoning,huatuogpt_3_32b_reasoning,HuatuoGPT-3-32B,Reasoning,ablation_caption_only,1.8261,1.8261,0.0906,0.5593,3102.2,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/huatuogpt_3_32b_reasoning_task1_judge_v31_images_qwen38_20260903,runs/huatuogpt_3_32b_reasoning_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max32768_conclusiononly2,judge/board17_transcript3_task1_judge_v31_images_20260830,1.6413,0.1848,0.7826,1.0,0.7463,,,,
Specialist Turn,task2,board,huatuogpt_3_32b_reasoning,huatuogpt_3_32b_reasoning,HuatuoGPT-3-32B,Reasoning,caption_only,,,0.1092,0.5587,1384.4,4844,4844,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/huatuogpt_3_32b_reasoning_task2_judge_v4_images_qwen38_20260903,runs/huatuogpt_3_32b_reasoning_task2_test_v3_xsfixed_20260809_max8192_slidealigned,judge/board13_task2_judge_v4_images_20260814,3.3365,-0.6654,0.3235,0.8774,0.8085,2.6711,2.6711,0.231,0.7446
Board Simulation,task1,board,ministral_3_14b_instruct_2512,ministral_3_14b_instruct_2512,Ministral 3 14B Instruct 2512,Non-reasoning,multimodal,2.2011,2.2011,0.1636,0.623,1205.7,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/ministral_3_14b_instruct_2512_task1_judge_v31_images_qwen38_20260903,runs/ministral_3_14b_instruct_2512_task1_test_v3_xsfixed_multimodal_v3_20260830_max65536_conclusiononly2_judgeinput,judge/board17_transcript3_task1_judge_v31_images_20260830,2.0978,0.1033,0.7283,0.9946,0.8232,,,,
Specialist Turn,task2,board,ministral_3_14b_instruct_2512,mm_ministral_3_14b_instruct_2512,Ministral 3 14B Instruct 2512,Non-reasoning,multimodal,,,0.1688,0.6077,91.0,4844,4844,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/mm_ministral_3_14b_instruct_2512_task2_judge_v4_images_qwen38_20260903,runs/mm_ministral_3_14b_instruct_2512_task2_test_v3_xsfixed_multimodal_20260816_max16384_judgeinput_slidealigned,judge/mm_ministral_3_14b_instruct_2512_task2_judge_v4_images_20260816,3.5551,-0.5396,0.4038,0.9265,0.844,3.0155,3.0155,0.1206,0.2867
Board Simulation,task1,board,medreason_8b,medreason_8b,MedReason-8B,Reasoning,ablation_caption_only,1.4348,1.4571,0.1133,0.5921,1171.8,184,175,9,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/medreason_8b_task1_judge_v31_images_qwen38_20260903,runs/medreason_8b_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536_conclusiononly2,judge/board17_transcript3_task1_judge_v31_images_20260830,1.3696,0.0652,0.9086,1.0,0.921,,,,
Specialist Turn,task2,board,medreason_8b,medreason_8b,MedReason-8B,Reasoning,caption_only,,,0.1463,0.5988,698.7,4844,4843,1,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/medreason_8b_task2_judge_v4_images_qwen38_20260903,runs/medreason_8b_task2_test_v3_xsfixed_20260809_max8192_slidealigned,judge/board13_task2_judge_v4_images_20260814,2.4201,-0.3272,0.6539,0.9604,0.9227,2.0929,2.0931,0.4355,0.5195
