task,code_task,display_name,model_key,condition,conclusion_alignment,clinical_equivalence,critical_error_rate,unsupported_claim_rate,rouge_l_f1,bertscore_f1,mean_output_tokens,conclusion_alignment_scored_only,clinical_equivalence_scored_only,test_records,scored_records,format_failures,judge_failures,judge_batch,run,rouge_source,bertscore_source,cost_source
Board Simulation,task1,Llama 4 Scout 17B-16E Instruct,llama4_scout,multimodal,1.9456521739130435,,,,0.16908858763414428,0.6210535022875537,538.8,1.9456521739130435,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/llama4_scout_task1_test_v3_xsfixed_multimodal_v3_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,Llama 4 Scout 17B-16E Instruct,llama4_scout,multimodal,,3.528075970272502,0.1240710156895128,0.1147811725846408,0.20197865154602776,0.6378287233467638,62.9,,3.528075970272502,4844,4844,0,0,judge/board13_task2_judge_v4_images_20260814,runs/mm_llama4_scout_task2_test_v3_xsfixed_multimodal_20260813_max16384,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_board17_20260813/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_xsfixed_both_tasks_20260810/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_board17_20260814/summary.json
Board Simulation,task1,HuatuoGPT-3-32B,huatuogpt_3_32b,ablation_caption_only,1.6684782608695652,,,,0.09752425915939768,0.5624713512218517,2935.0,1.6684782608695652,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/huatuogpt_3_32b_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max32768,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,HuatuoGPT-3-32B,huatuogpt_3_32b,caption_only,,3.5078447563996695,0.15111478117258464,0.2481420313790256,0.15914975250541502,0.6055792651449128,94.0,,3.5078447563996695,4844,4844,0,0,judge/board13_task2_judge_v4_images_20260814,runs/huatuogpt_3_32b_task2_test_v3_xsfixed_20260813_max8192_slidealigned,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_board17_20260814/summary.json
Board Simulation,task1,HuatuoGPT-3-32B (reasoning),huatuogpt_3_32b_reasoning,ablation_caption_only,1.641304347826087,,,,0.09064036572744182,0.5593133209192235,3102.2,1.641304347826087,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/huatuogpt_3_32b_reasoning_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max32768,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,HuatuoGPT-3-32B (reasoning),huatuogpt_3_32b_reasoning,caption_only,,3.3364987613542527,0.19199009083402147,0.4079273327828241,0.10924104532775299,0.5586684706546274,1384.4,,3.3364987613542527,4844,4844,0,0,judge/board13_task2_judge_v4_images_20260814,runs/huatuogpt_3_32b_reasoning_task2_test_v3_xsfixed_20260809_max8192_slidealigned,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_board17_20260814/summary.json
Board Simulation,task1,Ministral 3 14B Instruct 2512,ministral_3_14b_instruct_2512,multimodal,2.097826086956522,,,,0.16357728727603874,0.6230423207516256,1205.7,2.097826086956522,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/ministral_3_14b_instruct_2512_task1_test_v3_xsfixed_multimodal_v3_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,Ministral 3 14B Instruct 2512,ministral_3_14b_instruct_2512,multimodal,,3.4616019818331956,0.15028901734104047,0.22068538398018167,0.14788717222538228,0.5878787480362381,114.1,,3.4616019818331956,4844,4844,0,0,judge/board13_task2_judge_v4_images_20260814,runs/mm_ministral_3_14b_instruct_2512_task2_test_v3_xsfixed_multimodal_20260816_max16384,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_board17_20260813/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_xsfixed_both_tasks_20260810/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_board17_20260814/summary.json
Board Simulation,task1,MedReason-8B (reasoning),medreason_8b,ablation_caption_only,1.3695652173913044,,,,0.11334989310907063,0.5920633574894496,1171.8,1.3885714285714286,,184,175,9,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/medreason_8b_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,MedReason-8B (reasoning),medreason_8b,caption_only,,2.420107349298101,0.4414619037786496,0.4683047697708032,0.14629736387235084,0.5988143337565514,698.7,,2.420400578154037,4844,4843,1,0,judge/board13_task2_judge_v4_images_20260814,runs/medreason_8b_task2_test_v3_xsfixed_20260809_max8192_slidealigned,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_board17_20260814/summary.json
